Hong Kong International Airport   ,,,,,,,,,,,,,,,,,,,,
Civil International Air Transport,,,,,,,,,,,,,,,,,,,,
"Movements of Aircraft, Passenger and Freight",,,,,,,,,,,,,,,,,,,,
(1998 - 2020),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,,,,,,,
Year,Month,,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change",,,,,,
1998,*,, 81 616  , 81 607  , 163 223  ,-1.2     ,13 634 989  ,13 573 803  ,27 208 792  ,-3.9     , 774 544 , 854 198 ,1 628 742 ,-8.8     ,,,,,,
1999,,, 83 686  , 83 683  , 167 369  ,+2.5     ,14 552 270  ,14 510 300  ,29 062 570  ,+6.8     , 841 161 ,1 133 130 ,1 974 291 ,+21.2     ,,,,,,
2000,,, 90 949  , 90 969  , 181 918  ,+8.7     ,16 112 065  ,16 018 647  ,32 130 712  ,+10.6     , 952 514 ,1 288 071 ,2 240 586 ,+13.5     ,,,,,,
2001,,, 98 415  , 98 402  , 196 817  ,+8.2     ,16 027 680  ,15 999 264  ,32 026 944  ,-0.3     , 893 935 ,1 180 398 ,2 074 333 ,-7.4     ,,,,,,
2002,,, 103 355  , 103 346  , 206 701  ,+5.0     ,16 772 252  ,16 679 320  ,33 451 572  ,+4.4     ,1 003 559 ,1 475 259 ,2 478 818 ,+19.5     ,,,,,,
2003,,, 93 748  , 93 759  , 187 507  ,-9.3     ,13 419 252  ,13 333 042  ,26 752 294  ,-20.0     ,1 035 198 ,1 606 905 ,2 642 103 ,+6.6     ,,,,,,
2004,,, 118 662  , 118 646  , 237 308  ,+26.6     ,18 283 151  ,18 003 491  ,36 286 642  ,+35.6     ,1 164 735 ,1 925 177 ,3 089 911 ,+16.9     ,,,,,,
2005,,, 131 759  , 131 745  , 263 504  ,+11.0     ,19 990 767  ,19 808 828  ,39 799 595  ,+9.7     ,1 245 966 ,2 156 284 ,3 402 250 ,+10.1     ,,,,,,
2006,,, 140 203  , 140 177  , 280 380  ,+6.4     ,21 726 748  ,21 546 922  ,43 273 670  ,+8.7     ,1 300 467 ,2 279 880 ,3 580 348 ,+5.2     ,,,,,,
2007,,, 147 675  , 147 657  , 295 332  ,+5.3     ,23 170 222  ,23 126 341  ,46 296 563  ,+7.0     ,1 352 087 ,2 389 949 ,3 742 037 ,+4.5     ,,,,,,
2008,,, 150 577  , 150 561  , 301 138  ,+2.0     ,23 533 393  ,23 605 099  ,47 138 492  ,+1.8     ,1 326 539 ,2 300 710 ,3 627 249 ,-3.1     ,,,,,,
2009,,, 139 715  , 139 686  , 279 401  ,-7.2     ,22 445 251  ,22 550 536  ,44 995 787  ,-4.5     ,1 263 234 ,2 084 013 ,3 347 246 ,-7.7     ,,,,,,
