Hong Kong International Airport   ,,,,,,,,,,,,,
,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,
Year,Month,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change"
1998,*,81616,81607,163223,-1.2,13634989,13573803,27208792,-3.9,774544,854198,1628742,-8.8
1999,,83686,83683,167369,2.5,14552270,14510300,29062570,6.8,841161,1133130,1974291,21.2
2000,,90949,90969,181918,8.7,16112065,16018647,32130712,10.6,952514,1288071,2240586,13.5
2001,,98415,98402,196817,8.2,16027680,15999264,32026944,-0.3,893935,1180398,2074333,-7.4
2002,,103355,103346,206701,5,16772252,16679320,33451572,4.4,1003559,1475259,2478818,19.5
2003,,93748,93759,187507,-9.3,13419252,13333042,26752294,-20,1035198,1606905,2642103,6.6
2004,,118662,118646,237308,26.6,18283151,18003491,36286642,35.6,1164735,1925177,3089911,16.9
2005,,131759,131745,263504,11,19990767,19808828,39799595,9.7,1245966,2156284,3402250,10.1
2006,,140203,140177,280380,6.4,21726748,21546922,43273670,8.7,1300467,2279880,3580348,5.2
2007,,147675,147657,295332,5.3,23170222,23126341,46296563,7,1352087,2389949,3742037,4.5
2008,,150577,150561,301138,2,23533393,23605099,47138492,1.8,1326539,2300710,3627249,-3.1
2009,,139715,139686,279401,-7.2,22445251,22550536,44995787,-4.5,1263234,2084013,3347246,-7.7
2010,,153279,153260,306539,9.7,24787150,24988002,49775152,10.6,1479195,2648976,4128171,23.3
2011,,166919,166887,333806,8.9,26261929,26490789,52752718,6,1442252,2495773,3938025,-4.6
2012,,175861,175823,351684,5.4,27694115,27961568,55655683,5.5,1462972,2562378,4025350,2.2
2013,,186048,186032,372080,5.8,29486280,29787247,59273527,6.5,1488324,2638789,4127113,2.5
2014,,195520,195488,391008,5.1,31308655,31592369,62901024,6.1,1585096,2791253,4376349,6
2015,,203043,203005,406048,3.8,33872410,34198872,68071282,8.2,1596231,2783908,4380139,0.1
2016,,205793,205773,411566,1.4,34932225,35165991,70098216,3,1648331,2872697,4521028,3.2
2017,,210339,210320,420659,2.2,36213685,36248551,72462236,3.4,1723901,3213528,4937429,9.2
2018,,213899,213867,427766,1.7,37182732,37177097,74359829,2.6,1781098,3236756,5017854,1.6
2019,,209904,209891,419795,-1.9,35657254,35630298,71287552,-4.1,1606820,3096769,4703590,-6.3
2020,# ¶,47109,47014,94123,-55.8,4214233,4066837,8281070,-78,676497,1358613,2035111,-9.3
,,,,,,,,,,,,,
1998,Jan,7032,7029,14061,2.6,1029744,1200708,2230452,-5.9,61132,64242,125375,-1.8
,Feb,6078,6074,12152,-4.6,1091947,913061,2005008,-18.4,62001,51141,113142,11
,Mar,6584,6585,13169,-6.1,1070547,1099234,2169781,-16.8,75231,79156,154386,0.3
,Apr,6704,6701,13405,-2.1,1184956,1151549,2336505,-9.5,69404,70065,139469,-5.8
