# effective reproductive number in Hong Kong (local)
"Date","r0 value"
24/01/2020,1.3921
25/01/2020,1.5334
26/01/2020,1.7066
27/01/2020,1.7634
28/01/2020,1.6623
29/01/2020,1.4808
30/01/2020,1.3533
31/01/2020,1.1893
01/02/2020,1.0709
02/02/2020,0.8741
03/02/2020,0.7218
04/02/2020,0.6019
05/02/2020,0.5418
06/02/2020,0.4886
07/02/2020,0.4411
08/02/2020,0.3984
09/02/2020,0.4077
10/02/2020,0.4263
11/02/2020,0.4486
12/02/2020,0.4421
13/02/2020,0.4525
14/02/2020,0.4792
15/02/2020,0.4889
16/02/2020,0.5126
17/02/2020,0.5572
18/02/2020,0.5918
19/02/2020,0.5651
20/02/2020,0.5998
21/02/2020,0.6711
22/02/2020,0.7471
23/02/2020,0.7746
24/02/2020,0.8437
25/02/2020,0.9153
26/02/2020,1.1013
27/02/2020,1.1162
28/02/2020,1.153
29/02/2020,1.1695
01/03/2020,1.1287
02/03/2020,1.1214
03/03/2020,1.0705
04/03/2020,1.0245
05/03/2020,0.9582
06/03/2020,0.9193
07/03/2020,0.8301
08/03/2020,0.7751
09/03/2020,0.7319
10/03/2020,0.7326
11/03/2020,0.7549
12/03/2020,0.7935
13/03/2020,0.8798
14/03/2020,1.007
15/03/2020,1.1081
16/03/2020,1.1869
17/03/2020,1.2538
18/03/2020,1.3103
19/03/2020,1.3362
20/03/2020,1.3295
21/03/2020,1.2786
22/03/2020,1.2103
23/03/2020,1.1122
24/03/2020,0.9998
25/03/2020,0.8866
26/03/2020,0.7632
27/03/2020,0.6646
28/03/2020,0.5692
29/03/2020,0.5008
30/03/2020,0.4447
31/03/2020,0.4077
01/04/2020,0.3933
02/04/2020,0.3753
03/04/2020,0.3624
04/04/2020,0.3422
05/04/2020,0.3152
06/04/2020,0.3069
07/04/2020,0.2622
08/04/2020,0.2134
09/04/2020,0.1772
10/04/2020,0.1282
11/04/2020,0.1088
12/04/2020,0.0797
13/04/2020,0.0373
14/04/2020,0.0441
15/04/2020,0.0556
16/04/2020,0.0679
17/04/2020,0.0832
18/04/2020,0.0952
19/04/2020,0.1141
20/04/2020,0.1378
21/04/2020,0.1651
22/04/2020,0.2128
23/04/2020,0.2469
24/04/2020,0.2612
25/04/2020,0.2748
26/04/2020,0.2672
27/04/2020,0.2785
28/04/2020,0.2836
29/04/2020,0.2824
30/04/2020,0.3121
01/05/2020,0.363
02/05/2020,0.3582
03/05/2020,0.426
04/05/2020,0.4389
05/05/2020,0.4733
06/05/2020,0.5094
07/05/2020,0.5391
08/05/2020,0.5597
09/05/2020,0.4903
10/05/2020,0.5117
11/05/2020,0.4156
12/05/2020,0.4143
13/05/2020,0.404
14/05/2020,0.3847
15/05/2020,0.3706
16/05/2020,0.4295
17/05/2020,0.371
18/05/2020,0.3983
19/05/2020,0.4389
20/05/2020,0.4542
21/05/2020,0.422
22/05/2020,0.426
23/05/2020,1.0056
24/05/2020,1.5633
25/05/2020,1.8845
26/05/2020,2.1748
27/05/2020,2.3492
28/05/2020,2.4325
29/05/2020,2.4885
30/05/2020,2.1557
31/05/2020,1.8524
01/06/2020,1.4687
02/06/2020,1.1449
03/06/2020,0.9083
04/06/2020,0.6724
05/06/2020,0.4831
06/06/2020,0.3163
07/06/2020,0.1457
08/06/2020,0.154
09/06/2020,0.1851
10/06/2020,0.2228
11/06/2020,0.2803
12/06/2020,0.3314
13/06/2020,0.4192
14/06/2020,0.5107
15/06/2020,0.6237
16/06/2020,0.756
17/06/2020,0.8379
18/06/2020,0.9432
19/06/2020,1.0935
20/06/2020,0.9957
21/06/2020,2.1306
22/06/2020,2.7363
23/06/2020,2.8938
24/06/2020,3.1483
25/06/2020,3.522
26/06/2020,3.6415
27/06/2020,3.6263
28/06/2020,3.4408
29/06/2020,3.4184
30/06/2020,3.3465
01/07/2020,3.2235
02/07/2020,3.0629
03/07/2020,2.8787
04/07/2020,2.6774
05/07/2020,2.3947
06/07/2020,2.0893
